"No.","Time","Source","Destination","Source Port","Destination Port","Protocol","Length","Stream index","Info"
"603579","14089.798343","160.79.104.10","192.168.1.37","443","51040","TCP","60","5274","443  >  51040 [ACK] Seq=2858 Ack=1271 Win=73728 Len=0"
"603582","14089.839627","160.79.104.10","192.168.1.37","443","51040","TCP","60","5274","443  >  51040 [ACK] Seq=2858 Ack=1754 Win=73728 Len=0"
"603704","14095.882113","160.79.104.10","192.168.1.37","443","51040","TLSv1.3","1506","5274","Application Data"
"603705","14095.882113","160.79.104.10","192.168.1.37","443","51040","TLSv1.3","475","5274","Application Data"
"603706","14095.882113","160.79.104.10","192.168.1.37","443","51040","TLSv1.3","393","5274","Application Data"
"603707","14095.882113","160.79.104.10","192.168.1.37","443","51040","TLSv1.3","81","5274","Application Data"
"603708","14095.882215","192.168.1.37","160.79.104.10","51040","443","TCP","54","5274","51040  >  443 [ACK] Seq=1754 Ack=5097 Win=65280 Len=0"
"603905","14105.906936","192.168.1.37","160.79.104.10","51040","443","TCP","54","5274","51040  >  443 [FIN, ACK] Seq=1754 Ack=5097 Win=65280 Len=0"
"603906","14105.908812","192.168.1.37","160.79.104.10","51044","443","TCP","66","5277","51044  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"603907","14105.913813","160.79.104.10","192.168.1.37","443","51040","TCP","60","5274","443  >  51040 [FIN, ACK] Seq=5097 Ack=1755 Win=73728 Len=0"
"603908","14105.913889","192.168.1.37","160.79.104.10","51040","443","TCP","54","5274","51040  >  443 [ACK] Seq=1755 Ack=5098 Win=65280 Len=0"
"603909","14105.915141","160.79.104.10","192.168.1.37","443","51044","TCP","66","5277","443  >  51044 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=8192"
"603910","14105.915206","192.168.1.37","160.79.104.10","51044","443","TCP","54","5277","51044  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"603911","14105.915597","192.168.1.37","160.79.104.10","51044","443","TLSv1.3","571","5277","Client Hello (SNI=api.anthropic.com)"
"603912","14105.922764","160.79.104.10","192.168.1.37","443","51044","TCP","60","5277","443  >  51044 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"603913","14105.922764","160.79.104.10","192.168.1.37","443","51044","TLSv1.3","1506","5277","Server Hello, Change Cipher Spec"
"603914","14105.922764","160.79.104.10","192.168.1.37","443","51044","TLSv1.3","1458","5277","Application Data"
"603915","14105.922843","192.168.1.37","160.79.104.10","51044","443","TCP","54","5277","51044  >  443 [ACK] Seq=518 Ack=2857 Win=65280 Len=0"
"603916","14105.927709","192.168.1.37","160.79.104.10","51044","443","TLSv1.3","134","5277","Change Cipher Spec, Application Data"
"603917","14105.929042","192.168.1.37","160.79.104.10","51044","443","TLSv1.3","727","5277","Application Data"
"603918","14105.929141","192.168.1.37","160.79.104.10","51044","443","TLSv1.3","428","5277","Application Data"
"603919","14105.934876","160.79.104.10","192.168.1.37","443","51044","TCP","60","5277","443  >  51044 [ACK] Seq=2857 Ack=1271 Win=73728 Len=0"
"603920","14105.977258","160.79.104.10","192.168.1.37","443","51044","TCP","60","5277","443  >  51044 [ACK] Seq=2857 Ack=1645 Win=73728 Len=0"
"604124","14109.722299","160.79.104.10","192.168.1.37","443","51044","TLSv1.3","1506","5277","Application Data"
"604125","14109.722299","160.79.104.10","192.168.1.37","443","51044","TLSv1.3","475","5277","Application Data"
"604126","14109.722299","160.79.104.10","192.168.1.37","443","51044","TLSv1.3","280","5277","Application Data"
"604127","14109.722299","160.79.104.10","192.168.1.37","443","51044","TLSv1.3","81","5277","Application Data"
"604128","14109.722389","192.168.1.37","160.79.104.10","51044","443","TCP","54","5277","51044  >  443 [ACK] Seq=1645 Ack=4983 Win=65280 Len=0"
"604372","14119.741742","192.168.1.37","160.79.104.10","51044","443","TCP","54","5277","51044  >  443 [FIN, ACK] Seq=1645 Ack=4983 Win=65280 Len=0"
"604375","14119.748472","160.79.104.10","192.168.1.37","443","51044","TCP","60","5277","443  >  51044 [FIN, ACK] Seq=4983 Ack=1646 Win=73728 Len=0"
"604376","14119.748536","192.168.1.37","160.79.104.10","51044","443","TCP","54","5277","51044  >  443 [ACK] Seq=1646 Ack=4984 Win=65280 Len=0"
"604377","14119.749195","192.168.1.37","160.79.104.10","51053","443","TCP","66","5285","51053  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"604378","14119.755581","160.79.104.10","192.168.1.37","443","51053","TCP","66","5285","443  >  51053 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 SACK_PERM WS=8192"
"604379","14119.755683","192.168.1.37","160.79.104.10","51053","443","TCP","54","5285","51053  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"604380","14119.756219","192.168.1.37","160.79.104.10","51053","443","TLSv1.3","571","5285","Client Hello (SNI=api.anthropic.com)"
"604381","14119.763365","160.79.104.10","192.168.1.37","443","51053","TCP","60","5285","443  >  51053 [ACK] Seq=1 Ack=518 Win=73728 Len=0"
"604382","14119.765596","160.79.104.10","192.168.1.37","443","51053","TLSv1.3","1506","5285","Server Hello, Change Cipher Spec"
"604383","14119.765596","160.79.104.10","192.168.1.37","443","51053","TLSv1.3","1457","5285","Application Data"
"604384","14119.765630","192.168.1.37","160.79.104.10","51053","443","TCP","54","5285","51053  >  443 [ACK] Seq=518 Ack=2856 Win=65280 Len=0"
"604385","14119.768686","192.168.1.37","160.79.104.10","51053","443","TLSv1.3","134","5285","Change Cipher Spec, Application Data"
"604386","14119.769265","192.168.1.37","160.79.104.10","51053","443","TLSv1.3","727","5285","Application Data"
